Column,Min,Max,Average,StandardDeviation,Count,NullCount,DistinctCount
"neighborhood_overview"," The Darling Mansion is on residential Dovercourt Road, in downtown Toronto’s west end, between bustling Queen & Dundas Streets. West Queen West was recently recognized by Vogue Magazine as one of the trendiest neighbourhoods in the world for street fashion, second only to Tokyo’s Shimokitazawa. Dundas West is a pocket of city life tucked away from the city’s tourist destinations. This traditionally-Portuguese neighbourhood is now peppered with the neighbourhood cafes & bars of Toronto’s art, music, fashion & culinary communities. A short streetcar ride east takes you to Kensington Market, Toronto’s vintage clothes and farm-fresh food district with a bohemian flair. Seconds beyond Kensington is the most iconic of Toronto’s three Chinatowns, with seemingly-infinite options for late-night dining through 5am. Just southwest of the Darling Mansion is Parkdale: an up-and-coming, artistic neighbourhood that is home to the most sought after restaurants and live music community. My bar, Salvad","﻿<br />The studio is located at the corner of Nathan Phillips Square and Toronto City Hall. <br />The studio is located in a very lively area, thanks to its shops and restaurants.<br />You will be near the bakery of various restaurants (StarBucks, Five Guy's...) and the Toronto CF Eaton shopping centre. <br />﻿<br />Places to visit: ﻿<br /><br />- St. Andrew's Church.<br />- St. Michael's Cathedral of Toronto.<br />- The historic Osgoode Hall site.<br />﻿<br />Restaurants:<br /><br />- The American-style grill restaurant ""The Keg Steakhouse + Bar - York Street"".<br />- The ""John & Sons Oyster House"" Oyster Bar.<br />- The Japanese restaurant ""KATANA ON BAY"".<br />﻿<br />To do: <br /><br />- Walk around the Toronto CF Eaton shopping centre.<br />- Discover the historic Osgoode Hall site.<br />- Enjoy several parks (""Grange Park"", ""Berczy Park""...)<br />﻿","",,97025,"35064","18396"
"neighbourhood"," Toronto, Ontario, Canada","多伦多, 安大略省, Canada","",,97025,"18863","170"
"neighbourhood_cleansed","Agincourt North","Yorkdale-Glen Park","",,97025,"0","140"
"neighbourhood_group_cleansed","","","",,97025,"97025","1"
"number_of_reviews","0","828","27.45769647",53.145817415060726,97025,"0","507"
"number_of_reviews_ltm","0","192","8.089296573",16.764997523708068,97025,"0","169"
"picture_url","https://a0.muscache.com/4ea/air/v2//pictures/003dca92-d1f6-4c35-8933-302e99d1c1ec.jpg?t=r:w1200-h720-sfit,e:fjpg-c85","https://a0.muscache.com/pictures/pro_photo_tool/Hosting-7937085-unapproved/original/04f4fa3e-a522-4684-a420-5e34322027b2.JPEG","",,97025,"0","44116"
"price","0","13256","141.8350155",317.66362347238612,97025,"0","816"
"property_type","Aparthotel","Villa","",,97025,"0","95"
"review_scores_accuracy","2","10","9.62189528",0.88966075991842242,97025,"21374","10"
"review_scores_checkin","2","10","9.71861987",0.79072260549051376,97025,"21380","10"
"review_scores_cleanliness","2","10","9.400211486",1.0429510068851835,97025,"21370","10"
"review_scores_communication","2","10","9.72584163",0.81139812127484956,97025,"21368","10"
"review_scores_location","2","10","9.71988788",0.691537693508362,97025,"21391","10"
"review_scores_rating","20","100","94.1695962",9.0254864852370975,97025,"21245","59"
"review_scores_value","2","10","9.434577401",0.95845649995160465,97025,"21386","10"
"reviews_per_month","0.01","18.36","1.463790063",1.8640532344509888,97025,"20021","1211"
"room_type","Entire home/apt","Shared room","",,97025,"0","4"
"scrape_id","2.02001E+13","2.02102E+13","2.02053E+13",4986606167.0472183,97025,"0","5"
